window,t_s,n_load
calm,5970.0,0.7111161290582625
calm,5971.0,0.9131062546514803
calm,5972.0,0.96379595262051
calm,5973.0,0.8268147699583712
calm,5974.0,0.7969049626669596
calm,5975.0,0.9518212442566022
calm,5976.0,0.9795607356852644
calm,5977.0,0.7594268465581255
calm,5978.0,0.6268540101210459
calm,5979.0,0.8166866561241197
calm,5980.0,1.0516631635053637
calm,5981.0,0.9828091384474957
calm,5982.0,0.7805193522565195
calm,5983.0,0.771093594799367
calm,5984.0,0.8880020620569542
calm,5985.0,0.8617246075687036
calm,5986.0,0.7598474765731791
calm,5987.0,0.8196410508611913
calm,5988.0,0.9665085233722293
calm,5989.0,0.9449006711065414
calm,5990.0,0.7969016915435038
calm,5991.0,0.7863387843450764
calm,5992.0,0.873450529917313
calm,5993.0,0.8397796460306695
calm,5994.0,0.7613664647547544
calm,5995.0,0.8721337538444245
calm,5996.0,1.0451225837646017
calm,5997.0,0.936646307197158
calm,5998.0,0.6509896402573045
calm,5999.0,0.6532117540713014
calm,6000.0,0.9564663071089524
calm,6001.0,1.0757760273418415
calm,6002.0,0.8410590370212258
calm,6003.0,0.6842091123420915
calm,6004.0,0.8555664839259275
calm,6005.0,0.9963173480240494
calm,6006.0,0.8217263614385816
calm,6007.0,0.6488358733968161
calm,6008.0,0.829235052283139
calm,6009.0,1.0904442312336515
calm,6010.0,1.0072078480743027
calm,6011.0,0.7105672268652705
calm,6012.0,0.6445881920626408
calm,6013.0,0.8346632854214581
calm,6014.0,0.9504223953696608
calm,6015.0,0.8977883039690837
calm,6016.0,0.8708842098861364
calm,6017.0,0.9169712740268722
calm,6018.0,0.8705140163570269
calm,6019.0,0.7458871979493347
calm,6020.0,0.7287950025020987
calm,6021.0,0.8546851057439288
calm,6022.0,0.9474573913902871
calm,6023.0,0.9273623955557735
calm,6024.0,0.8901456295815636
calm,6025.0,0.8604205549722684
calm,6026.0,0.7818623402953571
calm,6027.0,0.7231146417736478
calm,6028.0,0.8110804758757866
calm,6029.0,0.9655306265293666
calm,6030.0,0.9741215678872752
calm,6031.0,0.8396958505296203
calm,6032.0,0.7736411849870356
calm,6033.0,0.8363944170543003
calm,6034.0,0.869390871902063
calm,6035.0,0.810174472780835
calm,6036.0,0.7998679339407082
calm,6037.0,0.9003421763934685
calm,6038.0,0.9683258864387926
calm,6039.0,0.8856893458351299
calm,6040.0,0.7555868128895039
calm,6041.0,0.739109652142652
calm,6042.0,0.8433840759371989
calm,6043.0,0.9467609995587487
calm,6044.0,0.9408130099482332
calm,6045.0,0.8366049918258212
calm,6046.0,0.7521958557369176
calm,6047.0,0.7985272324033524
calm,6048.0,0.9202960218366463
calm,6049.0,0.9185120187991144
calm,6050.0,0.7893835309963971
calm,6051.0,0.7663737724264756
calm,6052.0,0.9300631955481419
calm,6053.0,1.012376014923965
calm,6054.0,0.8107702138533368
calm,6055.0,0.6155037991995846
calm,6056.0,0.7610684292205531
calm,6057.0,1.05819372512778
calm,6058.0,1.048570610227479
calm,6059.0,0.7693600362999349
calm,6060.0,0.6785350127775694
calm,6061.0,0.8657532872081305
calm,6062.0,0.9506850368016332
calm,6063.0,0.7876386913670105
calm,6064.0,0.7232578296609992
calm,6065.0,0.9309172128872493
calm,6066.0,1.069061417291112
calm,6067.0,0.8781315772247466
calm,6068.0,0.6557390150111123
calm,6069.0,0.7219799184371225
calm,6070.0,0.9104781086622896
calm,6071.0,0.925456343200362
calm,6072.0,0.8496312650353008
calm,6073.0,0.8931237032901213
calm,6074.0,0.9443057598012735
calm,6075.0,0.8133880519492585
calm,6076.0,0.6764318184644399
calm,6077.0,0.7736890743000947
calm,6078.0,0.9666447167847216
calm,6079.0,0.9651121051285955
calm,6080.0,0.8268147590528793
calm,6081.0,0.823913564127385
calm,6082.0,0.8953269148667911
calm,6083.0,0.8183077913961903
calm,6084.0,0.6929509913115849
calm,6085.0,0.8054295054877436
calm,6086.0,1.038906807389329
calm,6087.0,1.009705113765164
calm,6088.0,0.7397084225232151
calm,6089.0,0.648930838542413
calm,6090.0,0.8620925676461304
calm,6091.0,0.9983041365098967
calm,6092.0,0.8612366748423901
calm,6093.0,0.7407268971136662
calm,6094.0,0.8607020868833937
calm,6095.0,0.9815645956296962
calm,6096.0,0.8581424652064328
calm,6097.0,0.6812200945545698
calm,6098.0,0.7476208073851298
calm,6099.0,0.9640542375642683
calm,6100.0,1.0128834597176133
calm,6101.0,0.8650775343050978
calm,6102.0,0.7460851238294075
calm,6103.0,0.7618547931640564
calm,6104.0,0.8311544800468484
calm,6105.0,0.880400352567308
calm,6106.0,0.9047616143846693
calm,6107.0,0.8925891103545701
calm,6108.0,0.8480763679913075
calm,6109.0,0.8251985157329257
calm,6110.0,0.836476290427016
calm,6111.0,0.8223933773907124
calm,6112.0,0.7860177618222457
calm,6113.0,0.824383152090527
calm,6114.0,0.9363394487246928
calm,6115.0,0.9720408809501223
calm,6116.0,0.8535617777584316
calm,6117.0,0.7333884842511812
calm,6118.0,0.7579640889924962
calm,6119.0,0.8545135831870148
calm,6120.0,0.8947587023373961
calm,6121.0,0.8841983745420129
calm,6122.0,0.8864215504779359
calm,6123.0,0.8784676858200366
calm,6124.0,0.8267974831914336
calm,6125.0,0.7849568486023982
calm,6126.0,0.8025660234248124
calm,6127.0,0.8391804990039445
calm,6128.0,0.8683366280614147
calm,6129.0,0.9152567788920295
calm,6130.0,0.9346766142719916
calm,6131.0,0.8369641770773623
calm,6132.0,0.7095778674054649
calm,6133.0,0.7528927235849092
calm,6134.0,0.9339035663551021
calm,6135.0,0.9806604271482326
calm,6136.0,0.8242637521466868
calm,6137.0,0.7422795528619172
calm,6138.0,0.8759305883740092
calm,6139.0,0.9490580037101547
calm,6140.0,0.784092564374223
calm,6141.0,0.6747094612501079
calm,6142.0,0.8786945930007957
calm,6143.0,1.1054433529621726
calm,6144.0,0.9422268116968058
calm,6145.0,0.6200934250980848
calm,6146.0,0.6358538282909714
calm,6147.0,0.9543823829789705
calm,6148.0,1.0666396804510605
calm,6149.0,0.8438738363658772
calm,6150.0,0.7176666712267186
calm,6151.0,0.8602250994838825
calm,6152.0,0.95051834764916
calm,6153.0,0.7924680679931656
calm,6154.0,0.6825758424985311
calm,6155.0,0.8447385620543691
calm,6156.0,1.031254169002203
calm,6157.0,0.9584058459476322
calm,6158.0,0.7768765390387328
calm,6159.0,0.7475466065179119
calm,6160.0,0.8112642204856956
calm,6161.0,0.8177386775515042
calm,6162.0,0.8346314085378245
calm,6163.0,0.943331084861133
calm,6164.0,0.9807884824058428
calm,6165.0,0.8320520117987892
calm,6166.0,0.6979315277031217
calm,6167.0,0.7770251258433625
calm,6168.0,0.9179445192231805
calm,6169.0,0.8893106698984679
calm,6170.0,0.7944037549024345
calm,6171.0,0.8538958035034012
calm,6172.0,0.963804670242196
calm,6173.0,0.8846429054305046
calm,6174.0,0.7006267623723673
calm,6175.0,0.7154568509864883
calm,6176.0,0.9141714162506884
calm,6177.0,0.9890643902545485
calm,6178.0,0.8595527632076776
calm,6179.0,0.7575361609737802
calm,6180.0,0.825294601795767
calm,6181.0,0.8958511427099458
calm,6182.0,0.8389927838872795
calm,6183.0,0.7767651264744395
calm,6184.0,0.8367436183351841
calm,6185.0,0.9292040934888864
calm,6186.0,0.9107201747019932
calm,6187.0,0.8118928351923466
calm,6188.0,0.7557927269912986
calm,6189.0,0.797687310776366
calm,6190.0,0.8828886907800451
calm,6191.0,0.9258648420494449
calm,6192.0,0.8862224725844683
calm,6193.0,0.802008426146609
calm,6194.0,0.7776456885415503
calm,6195.0,0.8411703691559976
calm,6196.0,0.8809003388803334
calm,6197.0,0.8343340401034638
calm,6198.0,0.809613917178574
calm,6199.0,0.8926322056574226
calm,6200.0,0.9540580648018069
calm,6201.0,0.8483003533835545
calm,6202.0,0.6983631310472171
calm,6203.0,0.729409413288757
calm,6204.0,0.9043245491467481
calm,6205.0,0.9869866367722979
calm,6206.0,0.9035795273651787
calm,6207.0,0.8139730040563131
calm,6208.0,0.8018025611809986
calm,6209.0,0.7932642343930033
calm,6210.0,0.7813979227803772
calm,6211.0,0.8451372922791807
calm,6212.0,0.9388546109311479
calm,6213.0,0.920955505332051
calm,6214.0,0.8247232140425156
calm,6215.0,0.8052689082763614
calm,6216.0,0.8472050048644216
calm,6217.0,0.8058882375901738
calm,6218.0,0.7423728350439353
calm,6219.0,0.8467140279677228
calm,6220.0,1.0358054784116217
calm,6221.0,0.9832098393844365
calm,6222.0,0.7132551541309795
calm,6223.0,0.632506833019376
calm,6224.0,0.8587348523040634
calm,6225.0,1.0253867476546974
calm,6226.0,0.8767803954671367
calm,6227.0,0.7180632218955121
