# t,x,z,Vx,Vz,T,L,D,R,N_water
3.933899999999999864e+01,3.666940259669329407e+02,-3.250736552777124672e-02,9.862921496665776294e-05,3.779731641640867168e-01,2.745800300216910017e+01,-2.735596634986717124e+00,5.727762304276119709e-02,5.728077339129766798e-02,9.451712357057691634e+02
3.934000000000000341e+01,3.666940258625368187e+02,-3.212797138582634826e-02,-1.043961440199475058e-04,3.793941419449000096e-01,2.745794886271898605e+01,-2.756376947063545746e+00,5.771535416438416249e-02,5.771568965977522114e-02,9.446162062062352334e+02
3.934100000000000108e+01,3.666940266795763250e+02,-3.174716283409970835e-02,8.170395007893893223e-04,3.808085517266411868e-01,2.745789476577460775e+01,-2.777140944188269511e+00,5.815277286777981169e-02,5.815314874359102382e-02,9.440634454428154640e+02
3.934199999999999875e+01,3.666940272947393282e+02,-3.136494652752976064e-02,6.151629874540853402e-04,3.822163065699493711e-01,2.745784068433762215e+01,-2.797898989119689261e+00,5.859010223989111893e-02,5.861312559679399820e-02,9.435116321407141413e+02
3.934300000000000352e+01,3.666940277085993785e+02,-3.098132899471117696e-02,4.138600471906162133e-04,3.836175328185831845e-01,2.745778670504056862e+01,-2.818617829744601622e+00,5.902663886068839488e-02,5.903969037569208739e-02,9.429621974262872754e+02
3.934400000000000119e+01,3.666940279217283205e+02,-3.059631673511684427e-02,2.131289660830171966e-04,3.850122595943328285e-01,2.745773277417422165e+01,-2.839318081240652436e+00,5.946281380722891197e-02,5.946872105978492917e-02,9.424152017973081001e+02
3.934499999999999886e+01,3.666940279346962939e+02,-3.020991621838619787e-02,1.296798731775081659e-05,3.864005167306462929e-01,2.745767889340528001e+01,-2.859999103880342730e+00,5.989861307535057633e-02,5.990017968752542332e-02,9.418707051279229745e+02
3.934600000000000364e+01,3.666940277480716190e+02,-2.982213388362110057e-02,-1.866246881815633108e-04,3.877823347650968255e-01,2.745762506434344630e+01,-2.880660279812206515e+00,6.033402311150017072e-02,6.033402891138955199e-02,9.413287666586627438e+02
3.934700000000000131e+01,3.666940284824081573e+02,-2.943297613868936513e-02,7.343365619942917449e-04,3.891577449317364934e-01,2.745757128854141271e+01,-2.901301013066222012e+00,6.076903081315598171e-02,6.077023201079072290e-02,9.407894449868347237e+02
3.934799999999999898e+01,3.666940290182816966e+02,-2.904244947654904818e-02,5.358735623962188662e-04,3.905266621403177818e-01,2.745751754786463295e+01,-2.921928264216870907e+00,6.120378850632848117e-02,6.122238675372125571e-02,9.402513782753073883e+02
3.934900000000000375e+01,3.666940293562558963e+02,-2.865056025793931774e-02,3.379741773795636199e-04,3.918892186097316932e-01,2.745746390995230612e+01,-2.942516071350334883e+00,6.163774475884473136e-02,6.164764861690343045e-02,9.397160314103110750e+02
3.935000000000000142e+01,3.666940294968923695e+02,-2.825731481046287255e-02,1.406364487379962243e-04,3.932454474764443542e-01,2.745741033026997968e+01,-2.963081528097642803e+00,6.207125696385419611e-02,6.207519649754661417e-02,9.391834612912992952e+02
3.935099999999999909e+01,3.666940294407507395e+02,-2.786271942791773010e-02,-5.614162096836773966e-05,3.945953825451418151e-01,2.745735681015521834e+01,-2.983624121062629087e+00,6.250431372144478470e-02,6.250499585844146444e-02,9.386537241389029305e+02
3.935200000000000387e+01,3.666940303052064110e+02,-2.746678036963717470e-02,8.644556437538905569e-04,3.959390582805569214e-01,2.745730335088864038e+01,-3.004143358707852318e+00,6.293690408375496315e-02,6.293701278759344930e-02,9.381268754862593369e+02
3.935300000000000153e+01,3.666940309739956660e+02,-2.706950397866984478e-02,6.687892787202154559e-04,3.972763909673287519e-01,2.745724991933198211e+01,-3.024651960471903767e+00,6.336930144759672645e-02,6.339507465320222412e-02,9.376015199909608100e+02
3.935399999999999920e+01,3.666940314476730123e+02,-2.667089646122070348e-02,4.736773225282724120e-04,3.986075174491406359e-01,2.745719661209106377e+01,-3.045112846199996781e+00,6.380072089021952830e-02,6.381614711551572561e-02,9.370791499876899024e+02
3.935500000000000398e+01,3.666940317267906266e+02,-2.627096398723753265e-02,2.791176307450388312e-04,3.999324739831722209e-01,2.745714336988015347e+01,-3.065548771499078118e+00,6.423163847545729221e-02,6.423937675319955909e-02,9.365598191871315521e+02
3.935600000000000165e+01,3.666940318118986397e+02,-2.586971268978112415e-02,8.510802285361588997e-05,4.012512974564072521e-01,2.745709019376575100e+01,-3.085959327016652320e+00,6.466204495577236588e-02,6.466473185721013928e-02,9.360435805790849599e+02
3.935699999999999932e+01,3.666940317035449084e+02,-2.546714866440416905e-02,-1.083537170571460524e-04,4.025640253769555699e-01,2.745703708475784310e+01,-3.106344125090375385e+00,6.509193153366027440e-02,6.509218134737336514e-02,9.355304864234341267e+02
3.935800000000000409e+01,3.666940325153948379e+02,-2.506327796853888637e-02,8.118499179493064233e-04,4.038706958652837908e-01,2.745698404381005986e+01,-3.126702799687587575e+00,6.552128986069438721e-02,6.552169477500925654e-02,9.350205882424733090e+02
3.935900000000000176e+01,3.666940331348704945e+02,-2.465810674184410953e-02,6.194756804173793142e-04,4.051712266947768981e-01,2.745693104325156852e+01,-3.147045971686664778e+00,6.595034990399623043e-02,6.597308171253213338e-02,9.345124507293912757e+02
3.935999999999999943e+01,3.666940335625139369e+02,-2.425164098187170339e-02,4.276434466829804920e-04,4.064657599724059711e-01,2.745687816751470223e+01,-3.167341233478528473e+00,6.637842393189441470e-02,6.639165908890710954e-02,9.340075982573051760e+02
3.936100000000000421e+01,3.666940337988647798e+02,-2.384388664640426855e-02,2.363508691811542139e-04,4.077543354674353915e-01,2.745682536307555566e+01,-3.187609129110377193e+00,6.680594176314229304e-02,6.681224904606268555e-02,9.335060803861747445e+02
3.936200000000000188e+01,3.666940338444603640e+02,-2.343484965287525104e-02,4.559556822563819991e-05,4.090369935290166792e-01,2.745677263067691243e+01,-3.207849373479293664e+00,6.723289673045107495e-02,6.723482332877861456e-02,9.330079459078857553e+02
3.936299999999999955e+01,3.666940336998354724e+02,-2.302453587779829461e-02,-1.446248672785355985e-04,4.103137750769553227e-01,2.745671997100608408e+01,-3.228061702775340880e+00,6.765928261006108613e-02,6.765935431022433721e-02,9.325132428377419274e+02
3.936400000000000432e+01,3.666940344750726126e+02,-2.261295115620590157e-02,7.752371599697210815e-04,4.115847215923921221e-01,2.745666738469515167e+01,-3.248245874387773569e+00,6.808509362008428878e-02,6.808581499628210687e-02,9.320220184073140217e+02
3.936500000000000199e+01,3.666940350611502595e+02,-2.220010140410291072e-02,5.860776619448821063e-04,4.128497521029899642e-01,2.745661484772947247e+01,-3.268411105839907460e+00,6.851053086541245007e-02,6.853125857365033324e-02,9.315327976718760965e+02
3.936599999999999966e+01,3.666940354585968862e+02,-2.178599239048258779e-02,3.974466215120939358e-04,4.141090136203239847e-01,2.745656243602027047e+01,-3.288528260178438245e+00,6.893497447502873465e-02,6.894682098926993574e-02,9.310471361706840980e+02
3.936699999999999733e+01,3.666940356679384081e+02,-2.137062984136157973e-02,2.093415117985281864e-04,4.153625491210086174e-01,2.745651009998375613e+01,-3.308616369113468458e+00,6.935882266098591931e-02,6.936427064706679468e-02,9.305650790464108013e+02
3.936800000000000210e+01,3.666940356896981825e+02,-2.095401943925307570e-02,2.175977789457819917e-05,4.166104021085044185e-01,2.745645784004646472e+01,-3.328675268929121689e+00,6.978207128690686045e-02,6.978358271404502822e-02,9.300866706305772595e+02
3.936899999999999977e+01,3.666940355243970089e+02,-2.053616682264969295e-02,-1.653011624155246550e-04,4.178526166033834643e-01,2.745640565658099419e+01,-3.348704816614390012e+00,7.020471664939768874e-02,7.020473297929898104e-02,9.296119544360185500e+02
3.936999999999999744e+01,3.666940362786733090e+02,-2.011707758551617431e-02,7.542763106483815977e-04,4.190892371335188105e-01,2.745635354990630717e+01,-3.368704889738339148e+00,7.062675547573057933e-02,7.062769785968260605e-02,9.291409731504916181e+02
3.937100000000000222e+01,3.666940368469209943e+02,-1.969675740179301776e-02,5.682476672742473815e-04,4.203201837231581028e-01,2.745630149791255903e+01,-3.388683974713329050e+00,7.104837410523637264e-02,7.106799608624808640e-02,9.286722125220318276e+02
3.937199999999999989e+01,3.666940372296539294e+02,-1.927521179387709990e-02,3.827329385387705663e-04,4.215456079159181635e-01,2.745624957153223988e+01,-3.408614845560838269e+00,7.146899205955851986e-02,7.148012873054312988e-02,9.282072584332909173e+02
3.937299999999999756e+01,3.666940374273833640e+02,-1.885244623830399299e-02,1.977294427432023198e-04,4.227655555731059112e-01,2.745619772335898290e+01,-3.428515698239937404e+00,7.188899011905608427e-02,7.189404219538783614e-02,9.277461513700328624e+02
3.937400000000000233e+01,3.666940374406178194e+02,-1.842846616527695630e-02,1.323447432906055569e-05,4.239800730270368301e-01,2.745614595351340270e+01,-3.448386486453235200e+00,7.230836660544126548e-02,7.230971500646353467e-02,9.272889309685501757e+02
3.937500000000000000e+01,3.666940372698631450e+02,-1.800327695820609641e-02,-1.707546953784158585e-04,4.251892070708610527e-01,2.745609426206417680e+01,-3.468227183843222150e+00,7.272712025908542599e-02,7.272712629979492804e-02,9.268356360095519904e+02
3.937599999999999767e+01,3.666940380184631749e+02,-1.757688395325779016e-02,7.486000451027507259e-04,4.263930049483055651e-01,2.745604264902841862e+01,-3.488037783839029959e+00,7.314525023610050913e-02,7.314625582722161790e-02,9.263863044110844385e+02
3.937700000000000244e+01,3.666940385840759404e+02,-1.714929256585660117e-02,5.656127506860906054e-04,4.275913874011876281e-01,2.745599109251044823e+01,-3.507826690648661039e+00,7.356294172696895006e-02,7.358226948839619030e-02,9.259393829513566061e+02
3.937800000000000011e+01,3.666940389671999014e+02,-1.672050805573582072e-02,3.831239791426590668e-04,4.287845101207817811e-01,2.745593966189378321e+01,-3.527567272835296919e+00,7.397962606428187815e-02,7.399065969443958946e-02,9.254964870835353850e+02
3.937899999999999778e+01,3.666940391683308462e+02,-1.629053563422130577e-02,2.011309189113552045e-04,4.299724215145161454e-01,2.745588831024678100e+01,-3.547277544144445738e+00,7.439568029839468966e-02,7.440074270352055319e-02,9.250576524262482963e+02
3.938000000000000256e+01,3.666940391879616072e+02,-1.585938046381877090e-02,1.963073881176767804e-05,4.311551704025355924e-01,2.745583703739714920e+01,-3.566957570709143877e+00,7.481110511445528133e-02,7.481250030684157004e-02,9.246229137144837296e+02
