# t,x,z,Vx,Vz,T,L,D,R,N_water
6.206999999999999851e+00,4.424092325162948924e+01,1.500817409916598066e+00,1.470533975715003372e+01,1.114079246677673662e+00,3.307251718913410627e+02,8.035361569638321271e+02,8.297722138837966099e+01,8.297722138837966099e+01,0.000000000000000000e+00
6.208000000000000185e+00,4.425563092123184816e+01,1.501931907789970655e+00,1.470766960235761367e+01,1.114497873372486847e+00,3.306553136822555530e+02,8.035228596295859234e+02,8.299831685878912424e+01,8.299831685878912424e+01,0.000000000000000000e+00
6.209000000000000519e+00,4.427034091939569294e+01,1.503046824014290239e+00,1.470999816384372316e+01,1.114916224319639104e+00,3.305854827921382935e+02,8.035095747915797801e+02,8.301940604689450254e+01,8.301940604689450254e+01,0.000000000000000000e+00
6.209999999999999964e+00,4.428505324483788996e+01,1.504162158314014786e+00,1.471232544219393290e+01,1.115334299724596523e+00,3.305156792219498243e+02,8.034963024329497330e+02,8.304048894803730718e+01,8.304048894803730718e+01,0.000000000000000000e+00
6.211000000000000298e+00,4.429976789627588118e+01,1.505277910413807430e+00,1.471465143799364661e+01,1.115752099792603369e+00,3.304459029726343147e+02,8.034830425368663782e+02,8.306156555757264925e+01,8.306156555757264925e+01,0.000000000000000000e+00
6.211999999999999744e+00,4.431448487242771250e+01,1.506394080038536032e+00,1.471697615182810104e+01,1.116169624728682530e+00,3.303761540451189376e+02,8.034697950865303255e+02,8.308263587086905488e+01,8.308263587086905488e+01,0.000000000000000000e+00
6.213000000000000078e+00,4.432920417201199825e+01,1.507510666913273623e+00,1.471929958428236773e+01,1.116586874737635959e+00,3.303064324403144951e+02,8.034565600651766317e+02,8.310369988330872104e+01,8.310369988330872104e+01,0.000000000000000000e+00
6.214000000000000412e+00,4.434392579374794252e+01,1.508627670763297735e+00,1.472162173594135126e+01,1.117003850024044453e+00,3.302367381591151911e+02,8.034433374560704806e+02,8.312475759028714606e+01,8.312475759028714606e+01,0.000000000000000000e+00
6.214999999999999858e+00,4.435864973635533204e+01,1.509745091314089960e+00,1.472394260738979099e+01,1.117420550792268985e+00,3.301670712023986312e+02,8.034301272425108209e+02,8.314580898721337121e+01,8.314580898721337121e+01,0.000000000000000000e+00
6.216000000000000192e+00,4.437337599855454329e+01,1.510862928291336393e+00,1.472626219921225754e+01,1.117836977246450259e+00,3.300974315710259361e+02,8.034169294078279790e+02,8.316685406950990966e+01,8.316685406950990966e+01,0.000000000000000000e+00
6.217000000000000526e+00,4.438810457906653539e+01,1.511981181420926967e+00,1.472858051199315810e+01,1.118253129590509820e+00,3.300278192658414014e+02,8.034037439353846821e+02,8.318789283261261858e+01,8.318789283261261858e+01,0.000000000000000000e+00
