site,area,lead_h,stamp_jst,dist_km,go,breach,n_breach,wind_m_s,gust_m_s,rain_mm_h,visibility_m,lightning_risk,condition,density_kg_m3,prop_factor,extra_cd,margin,v_stall_m_s,alpha_trim_deg
大阪,270000,15.0,09/21 23:00,428.0,False,"wind,gust",2,17.0,24.2,0.2,19938.0,0.0,rain,1.1559,0.999,0.0,6.982,6.73,2.46
大阪,270000,18.0,09/22 02:00,479.9,False,"wind,gust",2,16.6,23.7,0.1,19953.0,0.0,rain,1.1576,0.999,0.0,6.99,6.72,2.45
大阪,270000,21.0,09/22 05:00,539.4,False,"wind,gust",2,16.0,22.9,0.1,19967.0,0.0,rain,1.1593,0.999,0.0,6.997,6.72,2.45
大阪,270000,24.0,09/22 08:00,604.8,False,"wind,gust",2,15.6,22.3,0.1,19975.0,0.0,rain,1.1612,0.999,0.0,7.005,6.71,2.44
大阪,270000,27.0,09/22 11:00,674.5,False,"wind,gust",2,15.1,21.5,0.0,19983.0,0.0,rain,1.1631,0.999,0.0,7.012,6.71,2.43
大阪,270000,30.0,09/22 14:00,747.7,False,"wind,gust",2,14.5,20.7,0.0,19988.0,0.0,rain,1.165,1.0,0.0,7.019,6.7,2.42
大阪,270000,33.0,09/22 17:00,823.5,False,"wind,gust",2,14.0,20.0,0.0,19992.0,0.0,rain,1.1669,1.0,0.0,7.026,6.69,2.41
大阪,270000,36.0,09/22 20:00,901.5,False,"wind,gust",2,13.6,19.4,0.0,19995.0,0.0,rain,1.1687,1.0,0.0,7.032,6.69,2.4
大阪,270000,39.0,09/22 23:00,981.4,False,"wind,gust",2,13.1,18.8,0.0,19997.0,0.0,rain,1.1705,1.0,0.0,7.039,6.68,2.39
大阪,270000,42.0,09/23 02:00,1062.7,False,"wind,gust",2,12.8,18.2,0.0,19998.0,0.0,rain,1.1722,1.0,0.0,7.044,6.68,2.38
大阪,270000,45.0,09/23 05:00,1145.3,True,,0,6.9,9.9,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
大阪,270000,48.0,09/23 08:00,1229.0,True,,0,6.5,9.3,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
大阪,270000,51.0,09/23 11:00,1313.7,True,,0,6.2,8.8,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
大阪,270000,54.0,09/23 14:00,1399.1,True,,0,5.9,8.4,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
大阪,270000,57.0,09/23 17:00,1485.3,True,,0,5.6,8.0,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
大阪,270000,60.0,09/23 20:00,1572.0,True,,0,5.3,7.6,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
大阪,270000,63.0,09/23 23:00,1659.3,True,,0,5.1,7.3,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
大阪,270000,66.0,09/24 02:00,1747.0,True,,0,4.9,7.0,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
大阪,270000,69.0,09/24 05:00,1835.0,True,,0,4.7,6.8,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
大阪,270000,72.0,09/24 08:00,1923.4,True,,0,4.6,6.5,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
宮古,030020,0.0,09/21 08:00,880.8,False,"wind,gust",2,12.0,17.2,0.3,19888.0,0.01,rain,1.1503,0.998,0.0,6.958,6.74,2.49
宮古,030020,3.0,09/21 11:00,810.3,False,"wind,gust",2,12.5,17.8,0.6,19792.0,0.01,rain,1.1509,0.996,0.0,6.95,6.74,2.49
宮古,030020,6.0,09/21 14:00,740.5,False,"wind,gust",2,14.1,20.2,1.8,19382.0,0.04,rain,1.1518,0.991,0.0,6.92,6.74,2.49
宮古,030020,9.0,09/21 17:00,670.8,False,"wind,gust",2,14.2,20.3,1.6,19431.0,0.04,rain,1.153,0.992,0.0,6.927,6.74,2.48
宮古,030020,12.0,09/21 20:00,598.6,False,"wind,gust",2,15.1,21.6,2.6,19100.0,0.06,rain,1.1543,0.989,0.0,6.908,6.73,2.47
